Dataset,Backbone,Horizon,DirectMSE_final,FinalMSE_final,MSEGain_pct,DirectMAE_final,FinalMAE_final,MSEMetricSource,MAEMetricSource
Weather,PatchTST,720,0.320894337761208,0.3140656971980015,2.128002822003059,0.3343510497044519,0.3317040486823336,HistoricalRecovery,HistoricalRecovery
Weather,SegMoE,96,0.1450168227850863,0.1431306527873184,1.3006559939347015,0.1886523187598445,0.1878701997855639,Experiment37Selected,Experiment37Selected
Weather,SegMoE,192,0.1894249036843081,0.1857242269334189,1.9536379213667945,0.2322745690726078,0.2308987881216673,Experiment37Selected,Experiment37Selected
Weather,SegMoE,336,0.2422090328317391,0.2360722992694329,2.533651817423899,0.2740534449040428,0.2725723616488014,Experiment37Selected,Experiment37Selected
Weather,SegMoE,720,0.3183388763414138,0.3105491910732872,2.446978941953745,0.3290919562569548,0.3263438009313049,Experiment37Selected,Experiment37Selected
Weather,TimeMixer,96,0.1620690931032035,0.1604285749004879,1.0122338388547292,0.2079500027553629,0.2073850765118,HistoricalRecovery,HistoricalRecovery
Weather,TimeMixer,192,0.2086609939346848,0.2055134932501463,1.508427917066144,0.2525525820852053,0.2511058835366359,HistoricalRecovery,HistoricalRecovery
Weather,TimeMixer,336,0.2632683886042486,0.2586806226133837,1.7426193912560282,0.2907294589465656,0.2897364008990197,HistoricalRecovery,HistoricalRecovery
Weather,TimeMixer,720,0.3446384153930386,0.3343178092055393,2.9946186282597944,0.3433323235063147,0.3397756003040678,HistoricalRecovery,HistoricalRecovery
Weather,iTransformer,96,0.173287187550216,0.1660062828668544,4.201640517278116,0.2122102898961132,0.2093498261658877,HistoricalRecovery,HistoricalRecovery
Weather,iTransformer,192,0.2244360742003661,0.2144004102798624,4.471502166601046,0.2577194748080687,0.2535014721433571,HistoricalRecovery,HistoricalRecovery
Weather,iTransformer,336,0.2827324813287091,0.2704713363509859,4.336659488185296,0.2994811512745574,0.296606759301557,HistoricalRecovery,HistoricalRecovery
Weather,iTransformer,720,0.3579077783525667,0.3442743007200458,3.80921523842684,0.3497195039185834,0.3446864636013554,HistoricalRecovery,HistoricalRecovery

